the_geom,interaction,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,cartodb_id,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,fixed_date
0101000020E61000001E166A4DF36E2A406666666666664040,11,6745324,434,LBY7775,7775,06 April 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,26454,Northern Africa,Libya,Tripoli,Tripoli,,Khallat Farjan,32.8,13.2167,1,Twitter,New media,"On April 6, LNA and GNA forces traded shellings in the areas of Wadi al-Rabi, Qasr Bin Ghashr, and Khallat Farjan, five civilians were killed in the crossfire. Fatalities split between locations.",1,1579564004,LBY,2019-04-06
0101000020E6100000C520B07268512A40B0726891ED544040,11,6758791,434,LBY7765,7765,05 April 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,26497,Northern Africa,Libya,Aljfara,Aljfara,,Tripoli International Airport,32.6635,13.159,1,Reuters; Address Libya; Twitter,New media-National,"On April 5, LNA and GNA forces clashed around Tripoli International Airport, eventually LNA took control of the airport.",0,1579805273,LBY,2019-04-05
0101000020E61000007E8CB96B09592A402B1895D409584040,11,6758792,434,LBY7766,7766,05 April 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,26499,Northern Africa,Libya,Aljfara,Aljfara,,Qasr Bin Ghashr,32.6878,13.1739,2,AFP; Twitter,New media-International,"On April 5, LNA and GNA forces clashed in southern Tripoli with the fighting centered in the area of Qasr Bin Ghasir, five LNA soldiers were killed.",5,1579805273,LBY,2019-04-05
0101000020E6100000A323B9FC877429409BE61DA7E8604040,11,6758793,434,LBY7770,7770,05 April 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,26501,Northern Africa,Libya,Azzawya,Azzawya,,Az Zawiyah,32.7571,12.7276,2,Anadolu Agency; Libya Herald; AP; Reuters,National-International,"On April 5, GNA forces retook a checkpoint from the LNA west of Tripoli and arrested more than hundred LNA soldiers and seized dozens of vehicles.",0,1579805273,LBY,2019-04-05
0101000020E61000003411363CBD322A407B832F4CA6124040,11,6745321,434,LBY7767,7767,05 April 2019,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,26561,Northern Africa,Libya,Al Jabal Al Gharbi,Al Jabal Al Gharbi,,Al Hira,32.1457,13.0991,1,Twitter,New media,"On April 5, the GNA air force struck LNA positions in Al Hira.",0,1579564004,LBY,2019-04-05
0101000020E61000003411363CBD322A407B832F4CA6124040,11,6745158,434,LBY7763,7763,04 April 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,26580,Northern Africa,Libya,Al Jabal Al Gharbi,Al Jabal Al Gharbi,,Al Hira,32.1457,13.0991,1,Reuters,International,"On April 4, LNA and GNA forces clashed in Al Hira, two LNA soldiers were wounded.",0,1579564004,LBY,2019-04-04
0101000020E6100000B537F8C2640A2A40832F4CA60A164040,11,6758795,434,LBY7762,7762,04 April 2019,2019,1,Battles,Government regains territory,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,26594,Northern Africa,Libya,Al Jabal Al Gharbi,Al Jabal Al Gharbi,,Gharyan,32.1722,13.0203,1,Reuters; Libya Herald,National-International,"On April 4, LNA forces took control of the town of Ghrayan.",0,1579805273,LBY,2019-04-04
0101000020E6100000A323B9FC877429409BE61DA7E8604040,11,6758796,434,LBY7764,7764,04 April 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,26595,Northern Africa,Libya,Azzawya,Azzawya,,Az Zawiyah,32.7571,12.7276,2,Reuters; AFP,International,"On April 4, LNA forces seize a checkpoint less than 30km west of Tripoli, near Zawiyah.",0,1579805273,LBY,2019-04-04
0101000020E6100000EBE2361AC0BB2940787AA52C43044040,11,6738063,434,LBY7761,7761,03 April 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,26682,Northern Africa,Libya,Al Jabal Al Gharbi,Al Jabal Al Gharbi,,Alasaba,32.0333,12.8667,1,Libya Observer; Libya Times; Reuters,National-International,"On April 3, LNA and GNA forces clashed in Alasaba, one dead.",1,1579563981,LBY,2019-04-03
0101000020E61000000F0BB5A679F738406666666666E63540,28,6758797,434,LBY7760,7760,02 April 2019,2019,1,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,8,Islamic State (Libya),,2,26743,Northern Africa,Libya,Alkufra,Alkufra,,Jabal al Uwaynat,21.9,24.9667,2,Address Libya; Libya Observer; Twitter,New media-National,"On April 2, unknown aircraft struck a vehicle in the area of Jabal al Uwaynat, killing four individuals suspected of being Islamic State militants.",4,1579805273,LBY,2019-04-02
